time,cell_id,cell_type,substrate,fba_reaction,flux_lb,flux_value,concentration_mM
20,7,zone_3,glucose,r1032,-9.08925,4.11793e-12,4.99001
20,7,zone_3,oxygen,r0855,-19.6624,-3.74346e-12,29.1181
22,0,zone_1,glucose,r1032,-9.08909,4.11793e-12,4.98901
22,0,zone_1,oxygen,r0855,-19.7663,-3.74346e-12,42.2871
22,0,zone_1,glucose,r1032,-9.08909,4.11793e-12,4.98901
22,0,zone_1,oxygen,r0855,-19.7663,-3.74346e-12,42.2871
22,8,zone_3,glucose,r1032,-9.08909,4.11793e-12,4.98901
22,8,zone_3,oxygen,r0855,-19.6688,-3.74346e-12,29.6905
22,8,zone_3,glucose,r1032,-9.08909,4.11793e-12,4.98901
22,8,zone_3,oxygen,r0855,-19.6688,-3.74346e-12,29.6905
22,4,zone_2,glucose,r1032,-9.08909,4.11793e-12,4.98901
22,4,zone_2,oxygen,r0855,-19.7439,-3.74346e-12,38.5408
22,4,zone_2,glucose,r1032,-9.08909,4.11793e-12,4.98901
22,4,zone_2,oxygen,r0855,-19.7439,-3.74346e-12,38.5408
22,1,zone_1,glucose,r1032,-9.08909,4.11793e-12,4.98901
22,1,zone_1,oxygen,r0855,-19.7663,-3.74346e-12,42.2871
22,1,zone_1,glucose,r1032,-9.08909,4.11793e-12,4.98901
22,1,zone_1,oxygen,r0855,-19.7663,-3.74346e-12,42.2871
22,5,zone_2,glucose,r1032,-9.08909,4.11793e-12,4.98901
